unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
copy_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
fill_agg_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
fill_p, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
random_shuffle_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
remove_copy_first_p, 0, 0, 21, 0, 2, 5, 0, 5, 1, 
remove_copy_p, 2, 11, 35, 0, 6, 5, 54, 13, 3, 
remove_copy_second_p, 1, 3, 34, 0, 0, 4, 0, 3, 4, 
replace_copy_p, 0, 0, 2, 0, 0, 4, 0, 0, 4, 
replace_p, 0, 0, 1, 0, 0, 9, 0, 0, 6, 
reverse_copy_p, 0, 0, 0, 0, 0, 2, 0, 0, 1, 
reverse_in_place_p, 0, 0, 2, 0, 1, 9, 0, 3, 7, 
reverse_in_place_swap_p, 0, 0, 2, 0, 1, 7, 0, 2, 6, 
rotate_copy_p, 1, 0, 0, 1, 0, 1, 1, 0, 1, 
rotate_p, 0, 0, 0, 3, 0, 5, 3, 0, 5, 
swap_array_p, 0, 0, 3, 0, 0, 3, 0, 0, 3, 
swap_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
swap_ranges_index_p, 0, 0, 2, 0, 0, 10, 0, 0, 2, 
swap_ranges_p, 0, 0, 0, 0, 1, 7, 0, 1, 1, 
total, 2, 11, 35, 3, 6, 10, 54, 13, 7, 

, 2018, 2019, 2020, 
z3, 2, 3, 54, 
cvc4, 11, 6, 13, 
altergo, 35, 10, 7, 
