unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
copy_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
fill_agg_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
fill_p, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
random_shuffle_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
remove_copy_first_p, 3, 1, 1, 1, 1, 1, 1, 5, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 
remove_copy_p, 1, 0, 0, 0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 
remove_copy_second_p, 2, 1, 1, 1, 1, 1, 1, 5, 3, 1, 2, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 
replace_copy_p, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
replace_p, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
reverse_copy_p, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
reverse_in_place_p, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
reverse_in_place_swap_p, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
rotate_copy_p, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
rotate_p, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
swap_array_p, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
swap_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
swap_ranges_index_p, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
swap_ranges_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
total, 6, 17, 2, 2, 2, 2, 2, 17, 17, 3, 8, 2, 2, 2, 7, 18, 2, 2, 2, 2, 2, 

, 2018, 2019, 2020, 
z3, 6, 17, 7, 
cvc4, 17, 17, 18, 
altergo, 2, 3, 2, 
z3+cvc4, 2, 8, 2, 
cvc4+altergo, 2, 2, 2, 
altergo+z3, 2, 2, 2, 
all, 2, 2, 2, 
