unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
accumulate_naive_p, 0, 0, 0, 0, 11, 0, 0, 0, 1, 
accumulate_p, 1, 0, 1, 0, 0, 0, 0, 0, 0, 
adjacent_difference_p, 0, 0, 0, 0, 3, 0, 0, 3, 0, 
inner_product_p, 0, 0, 2, 0, 0, 1, 0, 0, 0, 
iota_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
numeric_inv, 5, 0, 25, 6, 0, 47, 5, 0, 18, 
partial_sum_p, 24, 0, 6, 0, 0, 1, 0, 0, 1, 
total, 24, 0, 25, 6, 11, 47, 5, 3, 18, 

, 2018, 2019, 2020, 
z3, 24, 6, 5, 
cvc4, 0, 11, 3, 
altergo, 25, 47, 18, 
