unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
binary_search_algorithms, 0, 1, 18, 2, 0, 24, 0, 0, 8, 
classic_sorting_algorithms, 0, 10, 14, 3, 14, 49, 25, 16, 21, 
heap_algorithms, 21, 8, 27, 2, 10, 39, 10, 21, 47, 
lemmas, 0, 0, 6, 0, 2, 41, 3, 3, 42, 
max_min_algorithms, 0, 0, 17, 0, 0, 0, 0, 0, 0, 
mutating_algorithms, 2, 11, 35, 3, 6, 10, 54, 13, 7, 
non_mutating_algorithms, 0, 15, 58, 0, 1, 21, 0, 2, 4, 
numeric_algorithms, 24, 0, 25, 6, 11, 47, 5, 3, 18, 
sorting_algorithms, 8, 21, 38, 20, 3, 21, 31, 2, 11, 
total, 24, 21, 58, 20, 14, 49, 54, 21, 47, 

, 2018, 2019, 2020, 
z3, 24, 20, 54, 
cvc4, 21, 14, 21, 
altergo, 58, 49, 47, 
