unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
sparknacl, 0, 0, 47, 0, 48, 33, 0, 55, 19, 
sparknacl-car, 0, 0, 59, 0, 1, 55, 0, 2, 52, 
sparknacl-core, 0, 0, 1, 0, 0, 1, 0, 0, 1, 
sparknacl-cryptobox, 0, 0, 0, 0, 0, 2, 0, 0, 1, 
sparknacl-hashing, 0, 0, 7, 0, 0, 4, 0, 0, 6, 
sparknacl-mac, 0, 0, 4, 0, 0, 5, 0, 0, 6, 
sparknacl-sanitize, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-sanitize_i64_seq, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-scalar, 0, 0, 50, 0, 0, 7, 0, 0, 3, 
sparknacl-secretbox, 0, 0, 2, 0, 0, 1, 0, 0, 1, 
sparknacl-sign, 7, 3, 57, 6, 7, 58, 12, 8, 59, 
sparknacl-stream, 0, 0, 1, 0, 0, 2, 0, 0, 3, 
sparknacl-utils, 0, 1, 4, 5, 4, 14, 0, 6, 52, 
total, 7, 3, 59, 6, 48, 58, 12, 55, 59, 

, 2018, 2019, 2020, 
z3, 7, 6, 12, 
cvc4, 3, 48, 55, 
altergo, 59, 58, 59, 
