unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
sparknacl, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-car, 0, 5, 1, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 0, 2, 5, 13, 2, 1, 0, 0, 
sparknacl-core, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-cryptobox, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-hashing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-mac, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
sparknacl-sanitize, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-sanitize_i64_seq, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-scalar, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
sparknacl-secretbox, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-sign, 0, 5, 40, 0, 2, 0, 0, 0, 2, 41, 0, 0, 0, 0, 1, 3, 75, 1, 1, 0, 0, 
sparknacl-stream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-utils, 5, 2, 5, 1, 1, 5, 1, 3, 1, 5, 0, 0, 3, 0, 4, 1, 5, 0, 0, 4, 0, 
total, 5, 14, 50, 1, 3, 5, 1, 3, 8, 51, 0, 0, 3, 0, 7, 9, 95, 3, 2, 4, 0, 

, 2018, 2019, 2020, 
z3, 5, 3, 7, 
cvc4, 14, 8, 9, 
altergo, 50, 51, 95, 
z3+cvc4, 1, 0, 3, 
cvc4+altergo, 3, 0, 2, 
altergo+z3, 5, 3, 4, 
all, 1, 0, 0, 
