unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
a-cofuse, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
a-cofuve, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
binary_trees, 22, 33, 45, 8, 30, 47, 10, 33, 52, 
red_black_trees, 22, 54, 51, 55, 47, 48, 46, 49, 54, 
search_trees, 24, 23, 57, 50, 43, 54, 49, 42, 57, 
tree_model, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
total, 24, 54, 57, 55, 47, 54, 49, 49, 57, 

, 2018, 2019, 2020, 
z3, 24, 55, 49, 
cvc4, 54, 47, 49, 
altergo, 57, 54, 57, 
