unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
copy_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
fill_agg_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
fill_p, 0, 0, 0, 0, 0, 2, 0, 0, 0, 
random_shuffle_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
remove_copy_first_p, 0, 0, 39, 0, 2, 5, 0, 9, 2, 
remove_copy_p, 3, 20, 55, 0, 9, 6, 0, 24, 5, 
remove_copy_second_p, 3, 6, 55, 0, 1, 6, 0, 3, 6, 
replace_copy_p, 0, 0, 1, 0, 0, 4, 0, 0, 5, 
replace_p, 0, 0, 1, 0, 0, 12, 0, 0, 8, 
reverse_copy_p, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
reverse_in_place_p, 0, 0, 2, 0, 1, 12, 0, 3, 9, 
reverse_in_place_swap_p, 1, 0, 3, 0, 1, 12, 0, 5, 10, 
rotate_copy_p, 3, 0, 0, 3, 0, 1, 2, 0, 1, 
rotate_p, 0, 0, 0, 6, 0, 5, 5, 0, 5, 
swap_array_p, 0, 0, 4, 0, 0, 4, 0, 0, 3, 
swap_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
swap_ranges_index_p, 0, 0, 2, 0, 0, 14, 0, 0, 2, 
swap_ranges_p, 0, 0, 1, 0, 2, 11, 0, 2, 1, 
total, 3, 20, 55, 6, 9, 14, 5, 24, 10, 

, 2018, 2019, 2020, 
z3, 3, 6, 5, 
cvc4, 20, 9, 24, 
altergo, 55, 14, 10, 
