unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
accumulate_naive_p, 0, 0, 1, 0, 13, 1, 0, 0, 1, 
accumulate_p, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
adjacent_difference_p, 0, 0, 0, 0, 4, 0, 0, 3, 0, 
inner_product_p, 0, 0, 3, 0, 0, 2, 0, 0, 1, 
iota_p, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
numeric_inv, 3, 0, 49, 56, 0, 47, 8, 0, 32, 
partial_sum_p, 1, 0, 8, 0, 0, 1, 0, 0, 21, 
total, 3, 0, 49, 56, 13, 47, 8, 3, 32, 

, 2018, 2019, 2020, 
z3, 3, 56, 8, 
cvc4, 0, 13, 3, 
altergo, 49, 47, 32, 
