unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
binary_search_algorithms, 0, 1, 12, 2, 0, 25, 0, 0, 8, 
classic_sorting_algorithms, 0, 9, 11, 3, 14, 47, 25, 16, 21, 
heap_algorithms, 9, 33, 34, 2, 3, 41, 7, 4, 58, 
lemmas, 0, 0, 7, 0, 4, 17, 5, 0, 12, 
max_min_algorithms, 0, 0, 30, 0, 0, 0, 0, 0, 0, 
mutating_algorithms, 3, 20, 55, 6, 9, 14, 5, 24, 10, 
non_mutating_algorithms, 0, 17, 18, 9, 1, 12, 0, 3, 13, 
numeric_algorithms, 3, 0, 49, 56, 13, 47, 8, 3, 32, 
sorting_algorithms, 14, 35, 31, 30, 5, 37, 26, 3, 17, 
total, 14, 35, 55, 56, 14, 47, 26, 24, 58, 

, 2018, 2019, 2020, 
z3, 14, 56, 26, 
cvc4, 35, 14, 24, 
altergo, 55, 47, 58, 
