unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
sparknacl, 0, 0, 26, 0, 58, 16, 0, 51, 8, 
sparknacl-car, 0, 0, 46, 0, 1, 37, 0, 1, 59, 
sparknacl-core, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
sparknacl-cryptobox, 0, 0, 0, 0, 0, 1, 0, 0, 0, 
sparknacl-hashing, 0, 0, 5, 0, 0, 2, 0, 0, 4, 
sparknacl-mac, 0, 0, 2, 0, 0, 4, 0, 0, 3, 
sparknacl-sanitize, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-sanitize_i64_seq, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-scalar, 0, 0, 36, 0, 0, 4, 0, 0, 2, 
sparknacl-secretbox, 0, 0, 1, 0, 0, 1, 0, 0, 1, 
sparknacl-sign, 38, 43, 52, 4, 6, 52, 39, 7, 58, 
sparknacl-stream, 0, 0, 0, 0, 0, 1, 0, 0, 1, 
sparknacl-utils, 7, 0, 3, 0, 3, 39, 8, 4, 32, 
total, 38, 43, 52, 4, 58, 52, 39, 51, 59, 

, 2018, 2019, 2020, 
z3, 38, 4, 39, 
cvc4, 43, 58, 51, 
altergo, 52, 52, 59, 
