unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
sparknacl, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-car, 0, 9, 1, 0, 0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 3, 9, 9, 3, 1, 0, 0, 
sparknacl-core, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-cryptobox, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-hashing, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-mac, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
sparknacl-sanitize, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-sanitize_i64_seq, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-scalar, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
sparknacl-secretbox, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-sign, 0, 8, 47, 0, 5, 0, 0, 0, 2, 18, 0, 0, 0, 0, 0, 3, 100, 0, 0, 0, 0, 
sparknacl-stream, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
sparknacl-utils, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 0, 0, 1, 0, 3, 1, 2, 0, 0, 1, 0, 
total, 2, 21, 53, 1, 6, 2, 1, 1, 12, 22, 0, 0, 1, 0, 6, 13, 113, 3, 1, 1, 0, 

, 2018, 2019, 2020, 
z3, 2, 1, 6, 
cvc4, 21, 12, 13, 
altergo, 53, 22, 113, 
z3+cvc4, 1, 0, 3, 
cvc4+altergo, 6, 0, 1, 
altergo+z3, 2, 1, 1, 
all, 1, 0, 0, 
