unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
a-cofuse, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
a-cofuve, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
binary_trees, 22, 53, 56, 16, 58, 45, 45, 49, 54, 
red_black_trees, 58, 57, 36, 53, 41, 57, 47, 49, 53, 
search_trees, 48, 46, 54, 49, 57, 59, 55, 40, 58, 
tree_model, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
total, 58, 57, 56, 53, 58, 59, 55, 49, 58, 

, 2018, 2019, 2020, 
z3, 58, 53, 55, 
cvc4, 57, 58, 49, 
altergo, 56, 59, 58, 
